timestamp,demand_mw,Northern_Region_mw,Western_Region_mw,Eastern_Region_mw,Southern_Region_mw,NorthEastern_Region_mw
2019-01-01 00:00:00,118690.67,33692.02,38522.22,13128.89,31681.83,1665.72
2019-01-01 01:00:00,116029.23,32534.39,38071.09,12737.53,31129.97,1556.24
2019-01-01 02:00:00,114044.14,31730.37,37680.1,12387.36,30760.87,1485.44
2019-01-01 03:00:00,113648.97,31529.25,37747.37,12301.12,30616.27,1454.96
2019-01-01 04:00:00,116290.05,32406.61,38101.8,12479.13,31839.38,1463.14
2019-01-01 05:00:00,124434.0,36376.37,39757.78,13252.46,33551.13,1496.27
2019-01-01 06:00:00,136638.94,41588.16,43250.17,14170.4,36059.11,1571.1
2019-01-01 07:00:00,147992.72,43703.11,47735.68,15103.72,39695.93,1754.27
2019-01-01 08:00:00,153580.44,44815.75,49976.75,15329.48,41690.19,1768.27
2019-01-01 09:00:00,156556.18,45662.13,51698.61,15247.92,42244.94,1702.59
2019-01-01 10:00:00,157135.53,45813.75,52652.51,15041.89,42006.58,1620.8
2019-01-01 11:00:00,155383.98,45430.35,52165.27,14763.09,41508.64,1516.64
2019-01-01 12:00:00,151982.46,44407.59,50861.13,14395.97,40836.25,1481.51
2019-01-01 13:00:00,147432.34,43353.29,49552.0,13720.22,39370.35,1436.48
2019-01-01 14:00:00,144736.76,42785.19,48890.31,13071.28,38597.94,1392.05
2019-01-01 15:00:00,142616.95,41970.84,47846.86,12858.01,38543.01,1398.22
2019-01-01 16:00:00,143051.57,41917.0,47199.49,13599.74,38709.13,1626.21
2019-01-01 17:00:00,145782.92,42730.21,46613.7,15521.14,38704.58,2213.3
2019-01-01 18:00:00,149412.95,45696.87,46380.55,16934.69,38094.55,2306.29
2019-01-01 19:00:00,145275.21,43079.42,45264.0,16898.45,37756.47,2276.87
2019-01-01 20:00:00,137227.15,39815.68,42994.64,16317.25,35916.93,2182.65
2019-01-01 21:00:00,130372.91,37528.28,41650.55,15252.7,33946.79,1994.57
2019-01-01 22:00:00,124227.03,36641.6,40158.71,13773.44,31921.61,1731.67
2019-01-01 23:00:00,119535.85,34641.52,40055.53,12735.41,30512.05,1591.34
2019-01-02 00:00:00,116461.83,32775.77,39575.12,12429.27,30182.32,1499.36
2019-01-02 01:00:00,113978.8,31807.03,39069.82,12051.49,29649.56,1400.91
2019-01-02 02:00:00,112632.51,31144.56,38791.59,11927.23,29395.16,1373.98
